NM,length,ratio,assembly
186,29938,0.006212839869062729,CHM1
305,17301,0.0176290387838853,CHM1
1007,64798,0.0155406031050341,CHM1
1070,102489,0.0104401447960269,CHM1
2184,38343,0.0569595493310383,CHM1
43,25021,0.0017185564126134,CHM1
536,70874,0.0075627169342777295,CHM1
2516,1260626,0.00199583381589782,CHM1
126,40513,0.00311011280329771,CHM1
126,38326,0.0032875854511297802,CHM1
3403,1161597,0.00292958745589047,CHM1
1019,38232,0.0266530654948734,CHM1
169,14729,0.0114739629302736,CHM1
1615,39890,0.0404863374279268,CHM1
719,20057,0.035847833674029,CHM1
290,9164,0.0316455696202532,CHM1
608,15603,0.0389668653464077,CHM1
1141,25444,0.0448435780537651,CHM1
1448,32668,0.0443247214399412,CHM1
699,17249,0.040524088352948,CHM1
2741,65155,0.0420689125930473,CHM1
1749,47536,0.0367931672837429,CHM1
1667,15899,0.104849361595069,CHM1
1266,23549,0.0537602445963735,CHM1
781,20889,0.0373880989994734,CHM1
1900,40145,0.0473284344252086,CHM1
1131,22961,0.0492574365227995,CHM1
1773,55170,0.032137030995106,CHM1
1426,19563,0.0728927056177478,CHM1
2685,40604,0.0661264900009851,CHM1
1042,33411,0.0311873335129149,CHM1
46,93731,0.000490766128602063,CHM1
338,23151,0.0145998013044793,CHM1
1282,9011,0.142270558206636,CHM1
3702,27934,0.132526670007876,CHM1
966,19805,0.0487755617268367,CHM1
831,16434,0.0505658999634903,CHM1
2786,20294,0.137281955257712,CHM1
4251,29066,0.146253354434735,CHM1
105,13687,0.007671513114634321,CHM1
1258,19213,0.0654765002862645,CHM1
526,20133,0.0261262603685492,CHM1
679,34919,0.0194450012886967,CHM1
303,38946,0.007780003081189341,CHM1
660,48155,0.0137057418751947,CHM1
1505,26577,0.0566279113519208,CHM1
453,16012,0.0282912815388459,CHM1
1382,68296,0.0202354457069228,CHM1
298,27438,0.0108608499161746,CHM1
133,18225,0.00729766803840878,CHM1
10897,4955087,0.00219915412181461,CHM1
525,20684,0.0253819377296461,CHM1
238,41399,0.00574893113360226,CHM1
2880,1332061,0.0021620631487597,CHM1
86,15823,0.0054351260822852795,CHM1
38860,3171358,0.0122534258194754,CHM1
271,21617,0.0125364296618402,CHM1
129,32418,0.0039792707754951,CHM1
359,17401,0.0206309982184932,CHM1
261,47199,0.0055297781732663795,CHM1
1015,125541,0.00808500808500808,CHM1
3877,809722,0.004788063063619371,CHM1
416,38360,0.010844629822732,CHM1
384,49666,0.00773164740466315,CHM1
1083,39287,0.0275663705551455,CHM1
1690,628927,0.0026871163107960103,CHM1
227,16868,0.0134574341949253,CHM1
175,32042,0.00546158167405281,CHM1
391,52029,0.007515039689403991,CHM1
